Job id            Name             User              Time Use S Queue
----------------  ---------------- ----------------  -------- - -----
6589827.desched1  CM2p1_AllFrc_20* pengz             33:00:45 R cpu             
6589833.desched1  run.N1850frc2G_* dchandler         802:07:* R cpu             
6589834.desched1  st_archive.N185* dchandler                0 H cpu             
6589839.desched1  run.b.e21.f09_g* wliu              595:50:* R cpu             
6589840.desched1  st_archive.b.e2* wliu                     0 H cpu             
6589844.desched1  test.ERS_D_Mmpi* afoster                  0 Q cpudev          
6589845.desched1  test.ERS_D_Mmpi* afoster                  0 Q cpudev          
6589846.desched1  run.N1850frc2G_* dchandler         749:00:* R cpu             
6589847.desched1  st_archive.N185* dchandler                0 H cpu             
6589851.desched1  dry_tune1        ksha              32:49:59 R gpu             
6589852.desched1  dry_tune1        ksha                     0 H gpu             
6589853.desched1  dry_tune1        ksha                     0 H gpu             
6589854.desched1  dry_tune1        ksha                     0 H gpu             
6589855.desched1  dry_tune1        ksha                     0 H gpu             
6589856.desched1  dry_tune1        ksha                     0 H gpu             
6589857.desched1  dry_tune1        ksha                     0 H gpu             
6589858.desched1  dry_tune1        ksha                     0 H gpu             
6589859.desched1  dry_tune1        ksha                     0 H gpu             
6589860.desched1  dry_tune1        ksha                     0 H gpu             
6589861.desched1  dry_tune1        ksha                     0 H gpu             
6589863.desched1  run.ppev0_PI     jnug              498:08:* R cpu             
6589864.desched1  run.ppev0_PD     jnug              499:19:* R cpu             
6589866.desched1  run.b.e21.f09_g* wliu              557:00:* R cpu             
6589867.desched1  st_archive.b.e2* wliu                     0 H cpu             
6589868.desched1  run.ppev0_PI     jnug              499:20:* R cpu             
6589871.desched1  test.ERS_Lm54_M* afoster                  0 Q cpudev          
6589872.desched1  run.ppev0_PD     jnug              498:59:* R cpu             
6589873.desched1  run.ppev0_PI     jnug              496:50:* R cpu             
6589875.desched1  run.ppev0_PD     jnug              502:59:* R cpu             
6589877.desched1  run.ppev0_PI     jnug              503:49:* R cpu             
6589879.desched1  run.ppev0_PD     jnug              465:53:* R cpu             
6589882.desched1  run.ppev0_PI     jnug              469:58:* R cpu             
6589883.desched1  run.ppev0_PD     jnug              466:02:* R cpu             
6589884.desched1  test.SMS_D.1x1_* afoster                  0 Q cpudev          
6589891.desched1  test.SMS_D.1x1_* afoster                  0 Q cpudev          
6589893.desched1  post_processing  gwarner           00:26:30 R cpu             
6589898.desched1  run.ppev0_PI     jnug              468:21:* R cpu             
6589899.desched1  run.ppev0_PD     jnug              469:38:* R cpu             
6589901.desched1  run.ppev0_PI     jnug              460:48:* R cpu             
6589902.desched1  run.ppev0_PD     jnug              463:54:* R cpu             
6589904.desched1  run.ppev0_PI     jnug              465:47:* R cpu             
6589907.desched1  run.ppev0_PD     jnug              435:53:* R cpu             
6589908.desched1  run.ppev0_PI     jnug              435:05:* R cpu             
6589910.desched1  run.ppev0_PD     jnug              427:17:* R cpu             
6589911.desched1  run.ppev0_PI     jnug              426:34:* R cpu             
6589913.desched1  run.ppev0_PD     jnug              425:24:* R cpu             
6589920.desched1  test.SMS_Ld12_M* afoster                  0 Q cpudev          
6589927.desched1  test.FSURDATMOD* afoster                  0 Q cpudev          
6589936.desched1  test.ERP_D_Ld10* afoster           00:38:23 R cpudev          
6589942.desched1  run.fpac_wpga_2* zding             199:16:* R cpu             
6589943.desched1  st_archive.fpac* zding                    0 H cpu             
6589949.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589955.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589956.desched1  Oct24_2003_gQtQ* phamkh            107:33:* R cpu             
6589961.desched1  test.SMS_D_Mmpi* afoster                  0 Q cpudev          
6589963.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589967.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589972.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589975.desched1  run.20241107_11* jonahshaw         206:37:* R cpu             
6589976.desched1  st_archive.2024* jonahshaw                0 H cpudev          
6589980.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589984.desched1  maura            arezoo            02:54:29 R cpu             
6589985.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589990.desched1  test.SMS_D.1x1_* samrabin          00:00:00 R cpudev          
6589991.desched1  maura            arezoo            02:45:57 R cpu             
6589992.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589996.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6589997.desched1  goes2model       ivette            00:19:09 R cpudev          
6589998.desched1  maura            arezoo            02:39:24 R cpu             
6590000.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6590002.desched1  maura            arezoo            02:35:43 R cpu             
6590003.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6590005.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6590008.desched1  cm1_ctl_0ms      rberrios          135:09:* R cpu             
6590009.desched1  run.ctsm5.3.0_t* linnia            36:34:52 R cpu             
6590010.desched1  ctsm5.3.0_trans* linnia                   0 H cpu             
6590012.desched1  test.ERP_D_P64x* afoster                  0 Q cpudev          
6590017.desched1  Variational1.20* nystrom           405:31:* R cpu             
6590019.desched1  runungrib        kacperz           04:12:27 R cpu             
6590021.desched1  STDIN            mleduc            02:05:54 R cpudev          
6590030.desched1  test.ERP_Ly3_P6* afoster                  0 Q cpudev          
6590033.desched1  iop9_mpas_20220* rberrios          1246:12* R cpu             
6590034.desched1  test.ERP_Ly3_P6* afoster                  0 Q cpudev          
6590036.desched1  test.ERP_D_Ld3_* samrabin          00:00:04 R cpudev          
6590039.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590042.desched1  test.ERP_P64x2_* samrabin                 0 Q cpudev          
6590043.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590044.desched1  STDIN            jfarley           00:03:39 R cpu             
6590045.desched1  STDIN            ivette            00:02:56 R cpudev          
6590050.desched1  test.ERP_P64x2_* samrabin                 0 Q cpudev          
6590051.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590055.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590059.desched1  b.ie13.B1850C5.* jschnaubelt       178:34:* R cpu             
6590060.desched1  b.ie13.B1850C5.* jschnaubelt              0 H cpu             
6590064.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590068.desched1  b.ie13.B1850C5.* jschnaubelt       170:01:* R cpu             
6590069.desched1  b.ie13.B1850C5.* jschnaubelt              0 H cpu             
6590072.desched1  test.ERS_D_Ld5_* samrabin                 0 Q cpudev          
6590073.desched1  test.ERP_D_P64x* samrabin                 0 Q cpudev          
6590074.desched1  test.SMS_Ld10_D* samrabin                 0 Q cpudev          
6590075.desched1  1pctCO2_4xCO2_t  im2527            100:04:* R cpu             
6590076.desched1  mpas_model       astokely          00:00:03 R cpu             
6590079.desched1  test.SMS_Ld10_D* samrabin                 0 Q cpudev          
6590080.desched1  test.SMS_Ld10_D* samrabin                 0 Q cpudev          
6590081.desched1  test.REP_P64x2_* afoster                  0 Q cpudev          
6590082.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590083.desched1  test.REP_P64x2_* afoster                  0 Q cpudev          
6590085.desched1  CM2p1_AllFrc_15* pengz             09:28:29 R cpu             
6590087.desched1  test.ERS_Lm25.1* samrabin                 0 Q cpudev          
6590088.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590089.desched1  test.ERS_Lm25.1* samrabin                 0 Q cpudev          
6590090.desched1  run_cn2_d03      cherubin          09:46:36 R cpu             
6590091.desched1  run.spcam_smoot* sweidman          35:15:57 R cpu             
6590092.desched1  st_archive.spca* sweidman                 0 H cpu             
6590096.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590100.desched1  test.ERS_D_Mmpi* samrabin                 0 Q cpudev          
6590101.desched1  WRF-ARW          mkhondaker        119:48:* R cpu             
6590103.desched1  test.ERS_D_Mmpi* samrabin                 0 Q cpudev          
6590104.desched1  b.e13.B1850C5.n* macarew           1037:27* R cpu             
6590105.desched1  b.e13.B1850C5.n* macarew                  0 H cpu             
6590108.desched1  test.ERS_Lm54_M* samrabin                 0 Q cpudev          
6590110.desched1  test.LCISO_Lm13* samrabin          13:27:17 R cpu             
6590111.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590112.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590116.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590131.desched1  test.SMS_D.1x1_* samrabin                 0 Q cpudev          
6590132.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590136.desched1  test.SMS_D.1x1_* samrabin                 0 Q cpudev          
6590140.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590143.desched1  MPAS_120km_init* bstouffer         00:04:26 R cpu             
6590145.desched1  cm1run           kkchandr          20:46:51 R cpu             
6590148.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590151.desched1  wrfiop10_545_24* gduine            20:18:01 R cpu             
6590152.desched1  test.ERP_D_Ld10* samrabin                 0 Q cpudev          
6590159.desched1  test.ERP_D_Ld10* samrabin                 0 Q cpudev          
6590162.desched1  test.SMS_Ld12_M* samrabin                 0 Q cpudev          
6590163.desched1  test.ERP_D_Ld10* samrabin                 0 Q cpudev          
6590166.desched1  high_res_rm_rer* lydiaks           05:27:55 R cpu             
6590168.desched1  test.LGRAIN2_Ly* samrabin          03:54:23 R cpu             
6590170.desched1  test.ERP_P64x2_* afoster                  0 Q cpudev          
6590172.desched1  test.LGRAIN2_Ly* samrabin          03:40:30 R cpu             
6590173.desched1  test.ERP_D_Ld10* samrabin                 0 Q cpudev          
6590176.desched1  test.LREPRSTRUC* samrabin          05:54:33 R cpu             
6590178.desched1  test.LREPRSTRUC* samrabin          01:40:59 R cpu             
6590179.desched1  test.ERS_Ly3.f1* afoster           02:00:07 R cpu             
6590180.desched1  B.MMIO400.ne120* daeunlee          88:59:35 R cpu             
6590181.desched1  B.MMIO400.ne120* daeunlee                 0 H cpu             
6590182.desched1  CM2p1_AllFrc_30* pengz             00:21:41 R cpu             
6590185.desched1  STDIN            klesinger         00:00:12 R cpu             
6590186.desched1  VerifyModelBG-0* ivette            01:06:04 R cpu             
6590188.desched1  test.ERP_D_P64x* samrabin                 0 Q cpudev          
6590189.desched1  HofXBG-0hrExec0* ivette            00:19:44 R cpu             
6590192.desched1  test.ERP_D_P64x* samrabin                 0 Q cpudev          
6590193.desched1  Variational1.20* ivette            00:00:09 R cpu             
6590194.desched1  run.spcam_smoot* sweidman          02:09:54 R cpu             
6590195.desched1  st_archive.spca* sweidman                 0 H cpu             
6590196.desched1  test.ERP_D_P64x* samrabin                 0 Q cpudev          
6590197.desched1  run.si.floe.T62* paulhall          00:00:00 R cpu             
6590198.desched1  st_archive.si.f* paulhall                 0 H cpu             
6590200.desched1  test.SMS_D_Mmpi* samrabin                 0 Q cpudev          
6590201.desched1  BOX              fzhao             00:00:00 R cpu             
6590202.desched1  test.SMS_D_Ld65* samrabin          00:00:00 R cpu             
6590203.desched1  test.ERP_D_P64x* samrabin                 0 Q cpudev          
6590204.desched1  run.FHIST_f19_p* fvitt             00:04:36 R cpu             
6590205.desched1  VerifyModelBG-0* ivette            00:00:00 R cpu             
6590206.desched1  test.ERS_Ly5_P1* afoster           00:00:00 R cpu             
6590207.desched1  buildkite        nefrathe          00:00:00 R gpudev          
6590208.desched1  test.ERP_D_P64x* samrabin                 0 Q cpudev          
6590209.desched1  HofXBG-0hrExec0* ivette            00:00:00 R cpu             
6590210.desched1  run.omip_060km_* dazlich           00:00:00 R cpu             
6590211.desched1  qcmd             emmons            00:00:00 R cpudev          
6590212.desched1  run.f.e22.FCnud* gaubert                  0 R cpu             
6590213.desched1  st_archive.f.e2* gaubert                  0 H cpu             
6590214.desched1  test.ERS_Ly5_P1* afoster                  0 R cpu             
